,temp_air,ghi,dni,dhi,lwr_u,wind_speed,rh,sp,svp_kPa,delta_kPa_C,avp_kPa,svpdeficit_kPa,net_sw_rad_MJ_m2,out_lw_rad_MJ_m2,net_radiation_MJ_m2,ET_mm,PV_AC_kW
2022-01-02 16:00:00-03:00,23.65,682.3,484.72,267.3,363.25,2.0,40.6,96495.0,2.921803643615527,0.1758362357819138,1.1857142917081647,1.7360893519073621,2.3334659999999996,0.29792616842937863,2.035539831570621,0.6119094915523684,0.49604412057452624
2022-01-02 17:00:00-03:00,23.72,453.2,423.35,145.95,362.1,2.21,39.25,96486.0,2.934135343158879,0.17648366988385422,1.1510687370933765,1.7830666060655025,1.5499439999999998,0.3017746285869128,1.248169371413087,0.4100481431973648,0.3257015718118266
2022-01-02 18:00:00-03:00,22.56,338.0,410.83,107.65,353.85,1.86,41.45,96476.0,2.7355328180930747,0.16601029266345535,1.1332238892664293,1.6023089288266454,1.1559599999999999,0.2989174676655441,0.8570425323344557,0.291564055755659,0.23066518506851758
2022-01-02 19:00:00-03:00,21.81,149.55,244.21,58.65,356.9,1.45,43.3,96362.0,2.6134667674963095,0.15952200055741428,1.1309484566352996,1.4825183108610098,0.5114609999999999,0.2961299286419767,0.21533107135802326,0.1089843094154177,0.07544868079737771
2022-01-02 20:00:00-03:00,20.77,47.0,170.34,17.5,345.15,1.31,46.1,96410.0,2.452086073786717,0.15088032860998385,1.1297030154282535,1.3223830583584637,0.16074,0.29210284341082016,-0.13136284341082016,0.010037118303017805,-0.00033
2022-01-02 21:00:00-03:00,19.39,0.0,0.0,0.0,326.45,1.45,50.5,96429.0,2.2514302901826335,0.1400272496860621,1.1362586778436445,1.115171612338989,0.0,0.2860118673813503,-0.2860118673813503,-0.028669444082422457,-0.00033
2022-01-02 22:00:00-03:00,17.79,0.0,0.0,0.0,309.9,1.31,56.5,96486.0,2.036893144502181,0.1282783405042097,1.1501617357440128,0.8867314087581681,0.0,0.27847390757426965,-0.27847390757426965,-0.03500812153389066,-0.00033
2022-01-02 23:00:00-03:00,16.16,0.0,0.0,0.0,295.4,1.38,63.8,96562.0,1.836952517514028,0.11717933353048719,1.1713668488691893,0.6655856686448387,0.0,0.27031273533188827,-0.27031273533188827,-0.035708821141419315,-0.00033
2022-01-03 00:00:00-03:00,14.96,0.0,0.0,0.0,295.2,1.17,69.6,96572.0,1.7009595332833891,0.10953909611045158,1.1833325955105842,0.5176269377728049,0.0,0.2647691774752833,-0.2647691774752833,-0.04198763662077679,-0.00033
2022-01-03 01:00:00-03:00,13.97,0.0,0.0,0.0,296.0,1.03,75.0,96572.0,1.5954953161735252,0.10355860894905729,1.1961668959075253,0.3993284202659999,0.0,0.2600046561105617,-0.2600046561105617,-0.04572487574351518,-0.00033
2022-01-03 02:00:00-03:00,13.21,0.0,0.0,0.0,287.5,0.76,80.2,96534.0,1.5184700605013797,0.09915806735592915,1.2174464028951344,0.3010236576062453,0.0,0.25539747291300646,-0.25539747291300646,-0.05071959965645391,-0.00033
2022-01-03 03:00:00-03:00,13.02,0.0,0.0,0.0,286.55,0.55,80.8,96524.0,1.4997315215318323,0.09808314285865974,1.2114244664980742,0.2883070550337581,0.0,0.255245851804793,-0.255245851804793,-0.053906805918557565,-0.00033
2022-01-03 04:00:00-03:00,12.54,0.0,0.0,0.0,279.95,0.41,83.05,96495.0,1.4532933514714337,0.09541162627030284,1.2066380807886719,0.24665527068276183,0.0,0.25395408395358887,-0.25395408395358887,-0.055684559031926956,-0.00033
2022-01-03 05:00:00-03:00,12.57,0.0,0.0,0.0,275.15,0.28,82.75,96505.0,1.4561582962174013,0.09557676115402654,1.2046433081002539,0.25151498811714745,0.0,0.2542342177564067,-0.2542342177564067,-0.05767736376088689,-0.00033
